climber_id,LAST,FIRST,Gender,Nation,Last_active,YOB
6367,Klingler,Petra,female,SUI,01/03/2020,1992
6457,Choong,Katherine,female,SUI,01/03/2020,1992
9979,Koller,Anne-Sophie,female,SUI,01/03/2020,1996
10326,Vogt,Dimitri,male,SUI,01/03/2020,1997
10328,Kümin,Andrea,female,SUI,01/03/2020,1997
10951,Lehmann,Sascha,male,SUI,01/03/2020,1998
11767,Hulliger,Michelle,female,SUI,01/03/2020,1999
11814,Yokoyama,Sofya,female,SUI,01/03/2020,1998
12509,Chuat,Dylan,male,SUI,01/03/2020,2000
12543,Geisenhoff,Philipp,male,SUI,01/03/2020,2000
51358,Rohner,Fabrice,male,SUI,01/03/2020,2003
51624,Wieland,Ilia,female,SUI,01/03/2020,2004
51661,Jost,Dario,male,SUI,01/03/2020,2003
51798,Egli,Zoé,female,SUI,01/03/2020,2002
51825,Hermann,Hannah,female,SUI,01/03/2020,2001
52394,Egli,Liv,female,SUI,01/03/2020,2003
52395,Niederberger,Joëlle,female,SUI,01/03/2020,2003
52709,Zgraggen,Lukas,male,SUI,01/03/2020,2004
52971,Clémence,Julien,male,SUI,01/03/2020,2001
52972,Grünenfelder,Nino,male,SUI,01/03/2020,2001
53013,Guignard,Louis,male,SUI,01/03/2020,2004
53624,Sommer,Marilu,female,SUI,01/03/2020,2005
63173,Fumeaux,Vivian,male,SUI,01/03/2020,2003
52724,Muth,Leonie,female,GER,29/02/2020,2004
52967,Breu,Ludwig,male,GER,29/02/2020,2003
52993,Kuczora,Philipp,male,GER,29/02/2020,2003
53286,Siedler,Michel,male,GER,29/02/2020,2004
54261,Zimmermann,Emil,male,GER,29/02/2020,2004
55617,Cornely,Lili,female,GER,29/02/2020,2004
57141,Bloem,Thorben Perry,male,GER,29/02/2020,2004
66676,Milles,Cedric Lluc,male,GER,29/02/2020,2003
52761,Brandenburger,Jonas,male,GER,08/02/2020,2001
14385,Disyabut,Nalat,female,THA,12/12/2019,2004
14388,Disyabut,Napat,female,THA,12/12/2019,2004
74159,PONOMARYOVA,ALINA,female,KAZ,12/12/2019,2004
74165,OSPAN,TANZILA,female,KAZ,12/12/2019,2004
74174,LITUS,YELIZAVETA,female,KAZ,12/12/2019,2004
75072,Varma,Anisha,female,IND,12/12/2019,2004
81503,KOIKE,Hana,female,JPN,12/12/2019,2005
81513,NAKAGAWA,Ryu,female,JPN,12/12/2019,2004
81523,OGURA,Sana,female,JPN,12/12/2019,2005
81963,Sheikh,Saniya,female,IND,12/12/2019,2005
51484,Franken,Ariane,female,AUT,07/12/2019,2005
52234,Kempf,Lea,female,AUT,07/12/2019,2004
6,Mawem,Bassa,male,FRA,28/11/2019,1984
6488,Kruder,Jernej,male,SLO,28/11/2019,1990
6623,Hojer,Jan,male,GER,28/11/2019,1992
7465,Sugimoto,Rei,male,JPN,28/11/2019,1991
8323,Ghisolfi,Stefano,male,ITA,28/11/2019,1993
8372,Ondra,Adam,male,CZE,28/11/2019,1993
8590,Yip,Alannah,female,CAN,28/11/2019,1993
8812,Rekabi,Elnaz,female,IRI,28/11/2019,1989
9956,Kazbekova,Ievgeniia,female,UKR,28/11/2019,1996
9984,Chanourdie,Julia,female,FRA,28/11/2019,1996
9989,Gibert,Fanny,female,FRA,28/11/2019,1993
10172,Fujii,Kokoro,male,JPN,28/11/2019,1992
10354,Jaubert,Anouck,female,FRA,28/11/2019,1994
10775,Bailey,Sean,male,USA,28/11/2019,1996
10825,Peharc,Anze,male,SLO,28/11/2019,1997
10962,Bosi,William,male,GBR,28/11/2019,1998
11091,Cornu,Manuel,male,FRA,28/11/2019,1993
11183,CHON,Jongwon,male,KOR,28/11/2019,1996
11374,Condie,Kyra,female,USA,28/11/2019,1996
11377,Hayes,Margo,female,USA,28/11/2019,1998
12432,Narasaki,Meichi,male,JPN,28/11/2019,1999
12601,Coleman,Nathaniel,male,USA,28/11/2019,1997
12604,Flohé,Yannick,male,GER,28/11/2019,1999
12940,Pan,YuFei,male,CHN,28/11/2019,2000
13189,Rogora,Laura,female,ITA,28/11/2019,2001
13208,Rakovec,Lucka,female,SLO,28/11/2019,2001
13209,Krampl,Mia,female,SLO,28/11/2019,2000
13211,Lettner,Sandra,female,AUT,28/11/2019,2001
13293,Kalucka,Aleksandra,female,POL,28/11/2019,2001
13545,Iarilovets,Nikolai,male,RUS,28/11/2019,1999
13960,Shiraishi,Ashima,female,USA,28/11/2019,2001
14032,Dohi,Keita,male,JPN,28/11/2019,2000
56609,Ginés López,Alberto,male,ESP,28/11/2019,2002
60150,Ito,Futaba,female,JPN,28/11/2019,2002
60398,SONG,YiLing,female,CHN,28/11/2019,2001
66821,Mori,Ai,female,JPN,28/11/2019,2003
69147,Zhang,YueTong,female,CHN,28/11/2019,2003
12827,Eom,Seongmin,male,KOR,14/11/2019,2000
13499,Shin,Yugwan,male,KOR,14/11/2019,2000
14315,Wong,Tseng-shun,female,HKG,14/11/2019,2001
14391,Raviwongse,Nattcha,female,THA,14/11/2019,2005
14403,Chan Chong Kiat,Mark,male,SGP,14/11/2019,2000
14478,Tanaka,Shuta,male,JPN,14/11/2019,2000
14499,Cho,Sanghyun,male,KOR,14/11/2019,2003
60146,Kikuchi,Saki,female,JPN,14/11/2019,2002
60230,Darabian,Mahya,female,IRI,14/11/2019,2002
60286,KIM,hyeongjun,male,KOR,14/11/2019,2001
61380,Kurita,Miu,female,JPN,14/11/2019,2002
61461,GOH WEN BIN,Luke,male,SGP,14/11/2019,2002
65140,IMAIZUMI,Yuta,male,JPN,14/11/2019,2000
66491,WONG,Cheuk-nam,male,HKG,14/11/2019,2001
66830,Takeda,Hajime,male,JPN,14/11/2019,2002
66833,Nukui,Ryoei,male,JPN,14/11/2019,2003
72522,JOO,HYEWON,female,KOR,14/11/2019,2002
73378,JEONG,Jimin,female,KOR,14/11/2019,2004
73411,Lim,Jaejun,male,KOR,14/11/2019,2004
74186,LANKOVA,VALERIYA,female,KAZ,14/11/2019,2001
74632,YOSHIDA,Satone,male,JPN,14/11/2019,2004
74723,Oh,Sujeong,female,KOR,14/11/2019,2003
74729,Noh,Heeju,female,KOR,14/11/2019,2004
78464,YURIKUSA,Ao,male,JPN,14/11/2019,2002
81353,Sukapanpotharam,Vin,male,THA,14/11/2019,2005
81363,Chotikkrai,Poksakon,male,THA,14/11/2019,2002
81443,AMAGASA,Sohta,male,JPN,14/11/2019,2000
81453,SEKIGUCHI,Junta,male,JPN,14/11/2019,2004
81473,UEMURA,Haruki,male,JPN,14/11/2019,2004
81493,KUROOKA,Mimu,female,JPN,14/11/2019,2000
81763,KIM,Dohyeon,male,KOR,14/11/2019,2005
81933,Varma,Aman,male,IND,14/11/2019,2004
9773,HÖNIG,Afra,female,GER,09/11/2019,1995
11149,Bestvater,Alma,female,GER,09/11/2019,1996
52305,Fell,Frederike,female,GER,09/11/2019,2001
52411,DÖRFFEL,Lucia,female,GER,09/11/2019,2000
5151,Ulzhabayeva,Tamara,female,KAZ,06/11/2019,1987
7348,Baratzadeh,Gholamali,male,IRI,06/11/2019,1985
7461,Tunyavanich,Puntarika,female,THA,06/11/2019,1990
8122,Lee,Hung Ying,female,TPE,06/11/2019,1985
9194,Yau,Ka-chun,male,HKG,06/11/2019,1992
9262,Lin,Hsiu-Ju,female,TPE,06/11/2019,1993
9567,Khaibullin,Rishat,male,KAZ,06/11/2019,1995
10519,Raksachat,Pratthana,female,THA,06/11/2019,1995
10547,Marlenova,Assel,female,KAZ,06/11/2019,1997
10556,Ruangrit,Winai,male,THA,06/11/2019,1996
10733,AU,Chi-fung,male,HKG,06/11/2019,1995
11447,Wen,Ying-Chieh,male,TPE,06/11/2019,1995
12354,Agambayeva,Margarita,female,KAZ,06/11/2019,1999
12473,Chan,Cheung-chi Shoji,male,HKG,06/11/2019,1995
12501,Ogata,Yoshiyuki,male,JPN,06/11/2019,1998
14035,Konishi,Katsura,male,JPN,06/11/2019,2001
14252,Lin,Chia Hsiang,male,TPE,06/11/2019,1998
14340,Jirajaturapak,Sirapob,male,THA,06/11/2019,2000
14352,Limpanichpakdee,Aphiwit,male,THA,06/11/2019,2003
14506,Seo,Chaehyun,female,KOR,06/11/2019,2003
57134,Kura,Nanako,female,JPN,06/11/2019,2000
61368,Nishida,Hidemasa,male,JPN,06/11/2019,2002
66689,Singh,Suraj,male,IND,06/11/2019,2001
66836,Kawamata,Rei,male,JPN,06/11/2019,2003
3554,Desgranges,Romain,male,FRA,26/10/2019,1982
5089,McColl,Sean,male,CAN,26/10/2019,1987
5629,Schranz,Christine,female,AUT,26/10/2019,1988
6325,Johnson,Alex,female,USA,26/10/2019,1989
6326,Noguchi,Akiyo,female,JPN,26/10/2019,1989
6489,Stranik,Martin,male,CZE,26/10/2019,1990
7994,Zhong,QiXin,male,CHN,26/10/2019,1989
8317,Bombardi,Marcello,male,ITA,26/10/2019,1993
8503,KIM,Hanwool,male,KOR,26/10/2019,1995
8525,Dzienski,Marcin,male,POL,26/10/2019,1993
9239,Hafsaas,Tina Johnsen,female,NOR,26/10/2019,1994
9492,Timmermans,Loïc,male,BEL,26/10/2019,1995
9514,Piccolruaz,Michael,male,ITA,26/10/2019,1995
9537,Khazanov,Alex,male,ISR,26/10/2019,1995
9794,Stirling,Lucinda Ann,female,AUS,26/10/2019,1993
10059,Kriz,Jan,male,CZE,26/10/2019,1996
10359,Lorenzi,Simon,male,BEL,26/10/2019,1997
10365,Puman,Hannes,male,SWE,26/10/2019,1997
10384,Brozek,Anna,female,POL,26/10/2019,1995
10489,Thompson-Smith,Molly,female,GBR,26/10/2019,1997
10620,Kotake,Mei,female,JPN,26/10/2019,1997
10788,Samoilov,Fedir,male,UKR,26/10/2019,1997
10856,Shikov,Aleksandr,male,RUS,26/10/2019,1997
10888,Fiser,Julia,female,AUT,26/10/2019,1997
10963,Pope,James,male,GBR,26/10/2019,1998
11024,Collin,Nicolas,male,BEL,26/10/2019,1998
11380,Brosler,John,male,USA,26/10/2019,1997
11809,Doumont,Heloïse,female,BEL,26/10/2019,1998
11895,Mackenzie,Oceania,female,AUS,26/10/2019,2002
11989,Garnbret,Janja,female,SLO,26/10/2019,1999
12039,Nonaka,Miho,female,JPN,26/10/2019,1997
12078,Posch,Mathias,male,AUT,26/10/2019,1999
12304,Ruana,Rudolph,male,USA,26/10/2019,1999
12528,Konecny,Jakub,male,CZE,26/10/2019,1999
12607,Linacisoro Molina,Mikel Asier,male,ESP,26/10/2019,2000
12623,Arthaud,Nina,female,FRA,26/10/2019,2000
12639,Krasovskaya,Elena,female,RUS,26/10/2019,2000
12658,Meshkova,Viktoriia,female,RUS,26/10/2019,2000
12702,Tkachuk,Mykhayil,male,UKR,26/10/2019,2000
13294,Kalucka,Natalia,female,POL,26/10/2019,2001
14023,Harada,Kai,male,JPN,26/10/2019,1999
54486,Douady,Luce,female,FRA,26/10/2019,2003
57446,Phillips,Emily,female,GBR,26/10/2019,2002
61144,Lee,Dohyun,male,KOR,26/10/2019,2002
61372,Hirano,Natsumi,female,JPN,26/10/2019,2002
64428,Potapova,Nika,female,UKR,26/10/2019,2003
66824,Tanii,Natsuki,female,JPN,26/10/2019,2003
73624,KUDO,Hana,female,JPN,26/10/2019,2003
8870,Reuser,Tim,male,NED,18/10/2019,1993
9190,JIANG,Rong,female,CHN,18/10/2019,1994
9634,Rojas,Andrea,female,ECU,18/10/2019,1995
10396,Chudziak,Patrycja,female,POL,18/10/2019,1997
10611,Niu,Di,female,CHN,18/10/2019,1996
10618,Narasaki,Tomoa,male,JPN,18/10/2019,1996
11363,Harrison,Campbell,male,AUS,18/10/2019,1997
11575,Granja,Carlos,male,ECU,18/10/2019,1999
12572,Peeters,Harold,male,BEL,18/10/2019,2000
12659,Emeleva,Luiza,female,RUS,18/10/2019,2000
12666,Uznik,Nicolai,male,AUT,18/10/2019,2000
12670,HAMMELMÜLLER,Eva Maria,female,AUT,18/10/2019,2000
12930,PÖTZI,Mattea,female,AUT,18/10/2019,2000
13197,Morandini,Sara,female,ITA,18/10/2019,2001
13206,Zajc,Ziga,male,SLO,18/10/2019,2001
13215,Scherz,Stefan,male,AUT,18/10/2019,2001
13222,Plangger,Tobias,male,AUT,18/10/2019,2001
13224,Arc,Nolwenn,female,FRA,18/10/2019,2000
13234,Adamovska,Eliska,female,CZE,18/10/2019,2001
13329,Shiran,Noa,female,ISR,18/10/2019,2001
13375,Novotna,Eliska,female,CZE,18/10/2019,2001
13544,Iakushev,Aleksei,male,RUS,18/10/2019,2000
13619,Osadchyi,Leonid,male,UKR,18/10/2019,2001
13786,Kuric,Peter,male,SVK,18/10/2019,2001
13813,Pestov,Grigorii,male,RUS,18/10/2019,2000
13867,Shevchenko,Vladislav,male,RUS,18/10/2019,1998
14097,Argudo Marugan,Ana Belén,female,ESP,18/10/2019,2002
14106,BAZAN MARTÍN,Héctor,male,ESP,18/10/2019,2002
14124,Colombo,Davide Marco,male,ITA,18/10/2019,2002
52386,Rauth,Jana,female,AUT,18/10/2019,2002
53226,Duval,Alistair,male,FRA,18/10/2019,2001
54059,Lardschneider,Elisabeth,female,ITA,18/10/2019,2002
54464,Jenft,Paul,male,FRA,18/10/2019,2003
55503,CAVÉ,Leto,male,NED,18/10/2019,2002
56606,Benach Zubero,Maria,female,ESP,18/10/2019,2002
57331,Ovchinnikov,Semen,male,RUS,18/10/2019,2002
57542,Michalkova,Vanda,female,SVK,18/10/2019,2002
57742,Piccini,Vana,female,CRO,18/10/2019,2002
57814,Furmanova,Daria,female,RUS,18/10/2019,2002
57838,Veretenina,Daria,female,RUS,18/10/2019,2001
57870,Polak,Andrej,male,SLO,18/10/2019,2002
57874,Potocar,Luka,male,SLO,18/10/2019,2001
57882,POTUCEK,Simon,male,CZE,18/10/2019,2001
57886,Musil,Albert,male,CZE,18/10/2019,2002
58174,Ilsaas Suthurst,Albert,male,NOR,18/10/2019,2001
58642,Trokina,Elizaveta,female,RUS,18/10/2019,2002
59338,Evgeneva,Anastasiia,female,RUS,18/10/2019,2001
59502,Zietek,Jakub,male,POL,18/10/2019,2002
59602,Toft Lauritzen,Gaia Rebecca,female,DEN,18/10/2019,2002
59662,Kindlihagen,Ingrid,female,NOR,18/10/2019,2002
59758,Pouget,Camille,female,FRA,18/10/2019,2002
59970,Bobrenev,Igor,male,RUS,18/10/2019,2002
64461,Vancraeynest,Ties,male,BEL,18/10/2019,2003
64686,Cink,Jáchym,male,CZE,18/10/2019,2003
64783,Vopat,Jan,male,CZE,18/10/2019,2003
64828,Watillon,Lucie,female,BEL,18/10/2019,2003
64834,Debevec,Betka,female,SLO,18/10/2019,2003
64885,Smetanova,Michaela,female,CZE,18/10/2019,2003
64900,BULENOVÁ,Eliška,female,CZE,18/10/2019,2003
64990,Miquel,Mathieu,male,FRA,18/10/2019,2000
65014,Lotz,Julia,female,AUT,18/10/2019,2003
65026,Podolan,Thomas,male,AUT,18/10/2019,2003
65152,Dulub,Egor,male,RUS,18/10/2019,2000
65264,Botnar,Bohdan,male,UKR,18/10/2019,2001
65294,Delacquis,Léa,female,FRA,18/10/2019,2000
